Saksalaismiehitys merkitsi myös juutalaisiin ja Puolan älymystöön kohdistuvien vainojen alkua .	alkua
Hän julkaisi kaikkiaan yli 50 elokuvaa , joista huomattava osa on saanut klassikkomaineen .	huomattava
Panssarit ajoivat styroxista tehdyn demokratian jumalpatsaan murskaksi .	tehdyn
Jordan oli jälleen sarjan paras pistemies , ja lisäksi hänet valittiin toista kertaa perättäin sarjan arvokkaimmaksi pelaajaksi .	pelaajaksi
1920-luvulla arkkitehtuurin vallitsevaksi suuntaukseksi tuli etenkin pohjoismaissa 1920-luvun klassismi , joka oli antiikin klassisia koristeaiheita niukalla tavalla soveltava rakennustyyli .	1920-luvulla
Snellman toimi porvarissäädyn edustajana vuoden 1861 Tammikuun valiokunnassa .	edustajana
Takakansitekstin mukaan romaani on ” sodan kritiikki ja suomalaisen sotilaan muistomerkki ” .	romaani
Aristoteles katsoi nykyaikaisen tieteen tavoin , että uutta tietoa voidaan tuottaa kokemusperäisesti todellisuutta havainnoimalla .	katsoi
Usein wakizashi ja tantō ( japanilainen tikari , joka muodoltaan muistuttaa katanaa ja wakizashia ) olivat kiertelevien kauppiaiden ainoa puolustuskeino ryösteleviä kapinallisia ja rosvojoukkoja vastaan .	japanilainen
Seuraava ehdotus tilattiin taidemaalari Eric Vasströmiltä .	taidemaalari
Metro liikennevälineenä on 1800-luvun jälkipuolella tapahtuneen pitkäkestoisen kehityksen tulos .	kehityksen
Kansainvälisesti järjestetään maanosa- ja maailman tason näyttelyitä .	tason
Siinä Roope opetti ankanpojille liiketaloutta samaan tapaan kuin Taavi Ankka oli toiminut piirroselokuvien opettajahahmona .	opetti
Toukokuussa vuonna 1941 Stalin nimitti itsensä pääministeriksi .	nimitti
Vuonna 1914 paikalta löytyi epätavallinen luinen työkalu , ja vuonna 1915 Dawson löysi kolmen kilometrin päästä toisen yksilön jäännöksiä .	löytyi
Hänen vaatetuksensa oli paljon keltaisempaa , ja huuliharpun sijasta hän soitti kitaraa ja lauloi .	lauloi
Varjostimella ei itsessään pitänyt olla vaikutusta itse kokeeseen , sillä se oli pienen matkan päässä putkesta , joka oli pimeässä huoneessa , ja se peitettiin mustalla pahvilla .	vaikutusta
Heinäkuussa 2013 Afganistanin arvioitu väkiluku oli 31 108 077 .	arvioitu
Kenttä on 10 astetta kallellaan pyörimisakseliin nähden ja maalle vastakkainen .	astetta
Sosialistinen työväen ja pienviljelijöiden eduskuntaryhmä koostui noin parista kymmenestä kansanedustajasta , joista suurin osa oli kielletyn SKP:n jäseniä .	koostui
Sen tehtävä on valmistella ja panna täytäntöön EU:n päätöksiä ja toimia , jotka koskevat puolustusta .	tehtävä
Vastauksen Einstein oli kirjoittanut jo valmiiksi .	valmiiksi
Vatsalihasten voimakas jännittäminen ulostamisen yhteydessä lisää peräaukon ympäristön laskimopainetta ja sen seurauksena laskimot laajenevat .	voimakas
Erityisen tehokas tapa oppia uusi kieli lapsuusiässä on laulamisen kautta .	tapa
Yksi Venäjän vanhimmista ja suurimmista yliopistoista on Pietarin valtionyliopisto , jossa opiskelee noin 32 000 opiskelijaa .	suurimmista
Jotkut pitävät tarinoista tai valokuvista , joissa on muun muassa raiskauksia , kidutusta ja murhaamista .	pitävät
Aikojen saatossa molemmista järjestöistä on lohjennut pienempiä järjestöjä .	pienempiä
Etenkin Tampereen yliopisto oli 1970-luvulla opiskelijoiden sosioekonomisella taustalla	taustalla
Poliittisesti sisällissota merkitsi sitä , etteivät kuninkaat voineet enää hallita ilman parlamenttia , joskin asia vahvistui vasta mainiossa vallankumouksessa myöhemmin samalla vuosisadalla .	asia
 Taloussanomien  viimeinen painettu versio ilmestyi vuoden 2007 lopussa , minkä jälkeen lehti siirtyi kokonaan verkkoon .	lehti
Kurenniemi oli alun perin yksi tämän vuonna 1971 perustetun levykaupan pääosakkaista .	perustetun
Tosiasiassa vain moottori ja potkuri sekä pääase olivat samaa tyyppiä kuin Bf 109:ssä .	moottori
Karttulan kirkonkylän taajamasta muodostettiin Kuopion 43. kapunginosa ( Karttula ) muun Karttulan jäädessä kaupunginosajaottelun ulkopuolelle .	ulkopuolelle
Keskikohdan kuvaamiseen ei ole yksiselitteistä menetelmää , ja paras tunnusluku vaihtelee tilanteen mukaan .	tilanteen
Vuonna 1002 Venetsian laivasto Orseolon johtamana vapautti Etelä-Italiassa Barin muslimien kalifaatin vallasta .	laivasto
Vuonna 2014 Suomi ja Nato allekirjoittivat isäntämaasopimuksen , joka mahdollistaa muun muassa joukkojen sijoittamisen ja tukikohtien perustamisen sekä velvoittaa isäntämaan tarjoamaan tukea sotilasoperaatioihin .	mahdollistaa
Se oli myös ensimmäinen kanava , joka ei tuottanut itse mitään ohjelmiaan , ja	tuottanut
Ennen kuin Octavianuksesta tuli laillisesti Caesarin poika , oli senaatin säädettävä tätä koskeva laki .	laki
Vasemmistoliitto lähti jyrkkään laskuun 1980-luvulla ja samaan aikaan Vihreät toi ympäristöaatteen osaksi suomalaista politiikkaa .	suomalaista
Maan korkein kohta on Kanchenjunga 8 598 metriä .	kohta
Järvien jäillä kevään tulon kuulee jo ennen niiden sulamista - aurinko lämmittää jäätä , joka lämpölaajentuessaan narahtelee .	kevään
Arvopaperikeskus tarjoaa myös joitain rajoitettuja palveluita suoraan sijoittaja-asiakkaille tai yleisölle .	yleisölle
Laiturin rakentaminen aloitettiin 2017 ja se otetaan käyttöön vuoden 2019 aikana .	rakentaminen
Jean-Pierre Leaudilla on elokuvassa keskeinen sivurooli , kuten myös Kaurismäen veljesten yhteisesti ihailemalla amerikkalaisella elokuvaohjaajaveteraanilla Samuel Fullerilla .	keskeinen
Lisäksi Torvalds oli käyttänyt käyttöjärjestelmässä useita GNU-projektin ohjelmia .	käyttänyt
Laulun sanat esitettiin julkisesti ensimmäistä kertaa 16. heinäkuuta 1924 Sun Yat-senin aloittaessa luentonsa näillä sanoilla Whampoan sotilasakatemian avajaistilaisuudessa Kantonissa .	sanat
Hän vakiinnutti asemansa maailmancupissa kaudella 2000 – 2001 sijoittumalla kahdeksan kertaa kymmenen parhaan joukkoon .	maailmancupissa
Tarja Halonen ei ollut koneessa , koska raskauden vuoksi lääkäri oli kehottanut välttämään lentämistä .	lääkäri
Kello 19.38 ensimmäiset pelastusyksiköt saapuivat paikalle .	saapuivat
Lawes oli Murrayta parempi keksintönsä markkinoinnissa ja hän osti vuonna 1846 oikeudet myös Murrayn patenttiin .	parempi
2011 otettiin myös käyttöön DVB-T2 järjestelmä joka tukee MPEG-4 pakkausta .	tukee
Maassa järjestettiin vuonna 1919 suuri mielenosoitus , joka on nimetty Toukokuun neljännen päivän liikkeeksi tapahtuma-ajankohtansa mukaan .	neljännen
"Lokakuussa 2017 ilmoitettiin lisäyksistä käyttöoikeuksiin , jotka helpottavat lähdekoodin käyttöä ja estävät "" oikeustrollien "" häirinnän ."	ilmoitettiin
"Elokuvan tarina perustuu albumeihin Kultasaksinen rapu , "" Rakham Punaisen aarre "" ja "" Yksisarvisen salaisuus "" ."	tarina
Ne eivät siten kuulu selkeästi vain yhteen edellä mainituista neljästä luonnontieteen alasta , vaan ne luetellaan yleensä erillään muista luonnontieteistä .	neljästä
Kulta- ja hopearahoja sekä muita jalometalleja on käytetty rahan perustana kauan .	kauan
Kaksintaistelun päätteeksi Gray Fox katkaisee katanalla Ocelotin oikean käden poikki ja Snake pelastaa Bakerin , jonka Ocelot oli sitonut C-4-muoviräjähteisiin kytkettyihin vaijereihin .	pelastaa
Versokasvien osalta myös luokat on merkitty .	merkitty
Kaksi erilaista rikosnimikettä on tarpeen mm. siksi , että varkaudella tai kavalluksessa viedyn omaisuuden takaisin saaminen oikealle omistajalle eroaa toisistaan .	erilaista
Maassa puhkesi levottomuuksia , kun viranomaiset pyrkivät hajottamaan laittomia lakkovartioita .	pyrkivät
Käytetty aluejako on 1.1.2017 tilanteen mukainen .	tilanteen
Sinnemäki valittiin Vihreän liiton varapuheenjohtajaksi yllättäen puoluekokouksessa toukokuussa 2003 .	yllättäen
Yleisradio ( Yle Radio 1 ) on esittänyt useita Kaavi-aiheisia radiodokumentteja .	esittänyt
Selänne aloitti olympiaturnauksen pirtein ottein merkkauttamalla kahdessa alkusarjan ottelussa kaksi syöttöpistettä , mutta ei kisojen edetessä enää päässyt tehopisteille .	kisojen
Sen maamerkiksi rakennettiin 1824 Charles Bassin suunnittelema Vanha kirkko .	suunnittelema
Kallo ei tyypillisesti ole kovin pitkä ja kuono on hyvin lyhyt .	lyhyt
On huomattava , että 59 % uhreista kuoli terroriteoissa , joiden tekijää ei kyetty luokittelemaan puutteellisten tietojen takia .	huomattava
Paasikiven vanhemmat asuivat Tampereella , mutta poika syntyi heidän kauppareissullaan Lahden markkinoille .	markkinoille
Jon Lord ja Ian Paice olivat valmiita pistämään pillit pussiin , mutta Coverdale ja Hughes ylipuhuivat heidät jatkamaan vielä .	jatkamaan
Kunnanhallituksen tehtävä on valvoa kunnan etuja sekä tehdä sopimuksia ja muita oikeustoimia kunnan puolesta .	tehtävä
"Toiseksi tärkein kaurojen sukuun kuuluva viljelykasvilaji on Välimeren alueella viljeltävä punakaura ( "" Avena byzantina "" ) , joka saatetaan joskus lukea samaksi lajiksi peltokauran kanssa ."	sukuun
Suurimman pistemäärän kymmenen lajin jälkeen kerännyt voittaa kilpailun .	voittaa
Myös teollisuus- ja palvelusektorilla sallittiin rajoitetusti yksityisyritteliäisyys ja valtionyhtiöitä alettiin uudelleenjärjestää , jotta markkinavoimat pääsivät vaikuttamaan enemmän .	pääsivät
"Pelihahmoa kuvataan erilaisilla pelaajalle näkyvissä olevilla lukuarvoilla , jotka on myös lainattu "" Dungeons & Dragonsista "" ."	kuvataan
Ensimmäinen tunnettu virallinen ottelu pelattiin Massachusettsissa 1896 .	ottelu
Organisaattori piti puolet rahoista ja lähetti loput osavaltiollisille ja kansallisille virkailijoille .	loput
Eerik Trollen pojasta , Gustav Trollesta ( 1488 – 1535 ) tuli Uppsalan arkkipiispa ja samalla Ruotsin kirkon päämies .	arkkipiispa
Räikkönen ajoi viimeisellä kierroksella kilpailun nopeimman kierroksen vaihdettuaan uudet renkaat .	kierroksen
Ed Belfour pelasi NHL:ssä 963 runkosarjaottelua , joista hänelle kertyi yhteensä 484 voitto-ottelua , kolmanneksi eniten NHL-historiassa Martin Brodeurin ja Patrick Royn jälkeen , ja 76 nollapeliä .	runkosarjaottelua
"Saharanpussitiainen ( "" Anthoscopus punctifrons "" ) on pussitiaisten heimoon kuuluva varpuslintu ."	varpuslintu
Maaliskuussa 1809 venäläiset joukot hyökkäsivät kolmelta suunnalta .	hyökkäsivät
Yritys menestyi hyvin , ja Johan August teki kauppaa myös ympäröivällä maaseudulla .	menestyi
SI-järjestelmässä energian varsinainen yksikkö on joule , joka on toisessa muodossa wattisekunti ; siten 1 kWh = 3,6 MJ .	varsinainen
Tutkijakoulutettavien työtehtävät koostuvat pääosin itsenäisestä tai osana tutkimusryhmää suoritettavasta tutkimustyöstä sekä osaston tai laitoksen opetustoimintaa tukevasta työstä .	osaston
Iskujen tekijäksi paljastui norjalainen Anders Behring Breivik , ja hänet tuomittiin 21 vuodeksi vankilaan .	norjalainen
Eli mitä samankaltaisempia henkilön ja tämän rakastetun kuvat toisistaan ovat , sitä lähempänä yksilö-yksilö-asetelmaa ollaan ja sitä tyytyväisempiä osapuolet ovat .	henkilön
1700-luvulla kehittyi rokokoo , jonka tunnetuimpia taidemaalareita olivat Antoine Watteau , François Boucher ja Jean-Honoré Fragonard .	1700-luvulla
Pituuspiiri eli meridiaani on maapalloa kuvaavan pyörähdysellipsoidin lyhyemmän akselin sisältävän tason ja pyörähdysellipsoidin leikkauskäyrän navalta navalle ulottuva kaari , jonka jokaisessa pisteessä geodeettinen pituusaste on sama .	tason
Antropologi Don Kulick on tutkinut Gapunin kylää .	kylää
Myös LL-jäsennystä käytetään sen yksinkertaisuuden vuoksi , mutta sellaisen avulla ei voida jäsentää kieltä , missä esiintyy nk. vasen rekursio .	voida
Vastaavasti Neuvostoliitto tarjosi aluevaihtoa , jossa Suomi olisi saanut laajempia alueita Itä-Karjalan Repolasta ja Porajärveltä .	tarjosi
"Kevään ja kesän mittaan hän myös konsertoi Yhdysvalloissa "" Cry of Love "" -kiertueella Mitch Mitchellin ja Billy Coxin säestämänä ."	kesän
Kaudella 1987 – 1988 TuTo menetti viime kauden pelaajistaan suurimman osan , ja sijoittui runkosarjassa kuudenneksi keräten samalla 695 jäähyminuuttia .	runkosarjassa
"Se perustuu Tooran lakiin ja sen noudattamiseen sekä selitykseen rabbiinisen kirjallisuuden , niin kutsutun "" suullisen Tooran "" pohjalta ( Talmud ja Mišna ) ."	kirjallisuuden
Alankomaalaiset ja brittiläiset kauppiaat tulivat perässä .	perässä
Saaren pinta-ala on noin 53 neliökilometriä ja rantaviivan pituus noin 70 kilometriä .	rantaviivan
Aikansa keskusteltuaan Hohenthal antoi Schaumanille juhannuksen alusviikolle asti aikaa toimia , muuten Gummeruksen ryhmä aloittaisi oman suunnitelmansa täytäntöönpanon .	muuten
Taistelussa Ruotsin kuninkaan kruunusta tultiin Suomenkin linnoja valtaamaan ja taivuttamaan unionikuninkaan taakse .	taakse
Kuolleista yli 150 oli lapsia .	lapsia
Kiinan virallinen armeija osoitti voimattomuutensa , sen sijaan paikallismilitiat tuottivat tappioita briteille .	osoitti
James Madisonin kuoltua hänen vaimonsa Dolley Payne Todd myi maatilan ja muutti Washington D.C:hen , jossa hänet haudattiin yleiselle hautausmaalle .	haudattiin
Vaikka yhden tai useamman tornin sisältävä vaakuna on melko tavallinen , eikä erityislaatuinen , niin se rekisteröitiin muuttamattomana uuden kunnan käyttöön vuonna 1974 .	vaakuna
Isovihan merkittävin muutos kuntalaisten arkielämään oli papiston pakeneminen Ruotsiin .	merkittävin
"Lisäksi XHTML 1.0 -dokumentit tulisi teoriassa tarjota asiakasohjelmistolle MIME-tyypillä "" application / xhtml + xml "" , joka sallii myös muiden XML-nimiavaruuksien käytön dokumentissa ."	käytön
Tšiangin matkustettua Xi ' aniin änen omat kenraalinsa ottivat hänet vangiksi .	ottivat
Kaksi muutakin alusta upposi , mutta ne nostettiin telakalle ja korjattiin , ja ne palasivat palvelukseen vuoteen 1944 mennessä .	nostettiin
Aito jalokivi on luonnon valmistama tuote .	valmistama
Ei-katolinen , ortodoksia lukuun ottamatta , ei saa osallistua katolilaiselle ehtoolliselle useasta syystä mutta ilmiselvin on , ettei tämä ole armon tilassa .	osallistua
Viivästyminen oli tarjonnut joukkojen kaipaamaa lepoa ja siten miehet olivat valmiit jatkamaan , mutta huollon järjestämiseksi tauko ei ollut riittävä .	jatkamaan
Suurin ja kattavin tähän asti suoritetuista väestönseulontatutkimuksista on antanut tulokseksi , että 1,7 prosentilla väestöstä olisi Aspergerin oireyhtymä tai PDD-NOS .	antanut
1300-luvulla liitto alkoi laajentua , kun Luzern liittyi siihen 1322 .	liitto
Argentiinan naiset saivat äänioikeuden vuonna 1947 .	naiset
Vuoden 2000 jälkeen DPP kävi läpi kuusi puhemiestä ja hallituksessa oli seitsemän vuoden aikana kuusi pääministeriä .	hallituksessa
Aceh rajoittuu etelässä ja idässä Pohjois-Sumatran provinssiin .	rajoittuu
Heistä menestynein on ollut Katri Ylander , jonka neljästä studioalbumista kaksi ensimmäistä on myynyt kultaa .	neljästä
"Vilhelm IV:n kuvaili Viktorian matkoja "" kuninkaalliseksi etenemiseksi "" ja oli huolissaan siitä , että Viktoria esiteltäisiin pikemminkin hänen kilpailijanaan kuin kruununperijänään ."	kuvaili
Tehtävää hän hoiti 8.9.1940 seuraavan vuoden 15.6. asti .	hoiti
Työväenliikkeen kannalta kehitys näytti liian hitaalta .	kehitys
kesäkuuta 1995 Kingston Wallin tarina sai lopullisen ja samalla traagisen päätöksen , kun yhtyeen keulahahmo Petri Walli teki itsemurhan hyppäämällä Helsingissä	tarina
Salemin maalaiskunta muodostettiin vuoden 1862 kuntauudistuksen yhteydessä , ja tuolloin se kuului Svartlösan kihlakuntaan .	maalaiskunta
Johtokunnan jäseneksi hän tuli vuonna 1994 .	jäseneksi
Hyvistä ajajistaan huolimatta talli sai vain vähän voittoja ( Nuvolarin voitto Saksassa 1935 oli poikkeus ) — Auto Union ja Mercedes hallitsivat .	voitto
Kapinalliset valtasivat Tigrayn helmikuussa 1989 , mikä oli Mengistun hallituksen ensimmäinen merkittävä tappio .	valtasivat
Toisin kuin Follettin aikaisemmat jännärit , siinä on paljon henkilöitä , moninkertaisia juonirakennelmia , ajoittaisia väkivallanpurkauksia ja laajaa historiallista taustaa .	henkilöitä
Huolimatta pitkäaikaisista kotimaisista ja kansainvälisistä yrityksistä parantaa Bangladeshin taloudellista ja demografista tilannetta maa on yhä alikehittynyt ja ylikansoitettu .	parantaa
Vuonna 1955 hän alkoi levyttää Columbialle , mutta vanhan sopimuksen takia joka toinen levy ilmestyi Prestigeltä .	levy
Modaliteettien tutkimus on peräisin jo Aristoteleelta .	tutkimus
Aseita olisivat esimerkiksi vihamielinen tieto , teknologian vihamielinen käyttö tai taloudellisen informaatiosodankäynnin keinot .	tieto
Toisaalta useimmat lausunnot ovat vastakkaisia , ja Maoa on pidetty karismaattisena johtajana .	useimmat
Tesla ( s . 1789 ) , ja äiti oli Ana Kalinić , joka kuului tunnettuun Kalinićin sukuun .	sukuun
Vaaleissa Garfield voitti vastaehdokkaansa demokraattien Winfield Hancockin ja nousi 4. maaliskuuta 1881 Yhdysvaltain 20. presidentiksi .	presidentiksi
Vihreän teen käsittelyssä hapetus keskeytetään välittömästi altistamalla tee lämmölle , joko japanilaisittain höyryttämällä tai kiinalaisittain kuumissa pannuissa .	välittömästi
Hänet on haudattu Salmensaarien sukuhautaan Helsingin Hietaniemen hautausmaalle , kortteli 20 , linja 18 , hauta 463 .	haudattu
Talvi- ja jatkosodan aikana pelastusarmeijalaiset auttoivat muun muassa jakamalla junassa matkustaville evakoille ruokaa , vaatteita ja lääkkeitä .	jatkosodan
Tehtävää jatkoi luutnantti Mauno Vainio , joka myös astui polkumiinaan ja menetti toisen jalkateränsä .	astui
Ilmakehän kasvihuonekaasujen määrän kasvu vähentää maapallolta avaruuteen poistuvan lämpösäteilyn määrää .	määrää
Tauti on keinotekoisesti onnistuttu tarttumaan hiiriin , kanoihin ja rottiin , mutta eläinten ei uskota saavan tautia luontaisesti .	eläinten
Kirjan elokuvaversiossa kartan viivat on tehty sattumanvaraisilta näyttävillä kirjaimilla , jotka ovat kuitenkin latinankielisiä sanoja .	kartan
Väyrylän kylään , jossa se liittyy kantatiehen 78 .	kylään
Ensimmäinen tapaaminen oli Moskovassa heinäkuussa 2000 , jolloin Putin totesi , ettei Venäjä aio palauttaa Karjalaa .	totesi
Hammaslääkäri Pfeffer ( päiväkirjassa Dussel ) pyysi Miep Giesiä etsimään itselleen piilopaikkaa .	etsimään
Context Search laajennus lisää listan käyttäjän hakutyökaluista valitun kohteen viereen .	listan
